nome,email,telefone,tipo_usuario,data_nasc
Christian Holt,christian.holt@test.org,(47)97958-1975,Admin,1980-10-08
Mark Mccoy,mark.mccoy@library.edu,(85)91364-3266,Reader,1957-02-01
Ian Rodriguez,ian.rodriguez@test.org,(63)96422-3711,Reader,1994-07-07
Evelyn Dunn,evelyn.dunn@example.com,(99)93023-7633,Admin,1994-03-04
Madison Valdez,madison.valdez@example.com,(44)91999-8828,Reader,1962-06-11
Wendy Garcia,wendy.garcia@test.org,(97)98635-2743,Admin,1967-10-05
Brandi Bailey,brandi.bailey@library.edu,(77)94456-1681,Reader,1981-02-25
Samuel Owens,samuel.owens@test.org,(77)92741-1089,Reader,1978-07-30
Bryan Rice,bryan.rice@example.com,(57)96555-7489,Admin,1962-05-09
Margaret Holmes,margaret.holmes@library.edu,(10)91185-8853,Reader,1988-07-15
Ashley Perkins,ashley.perkins@test.org,(42)92148-7574,Reader,1994-05-09
Mr. Christopher Myers,mr..christopher.myers@test.org,(96)96248-6637,Reader,1964-11-11
James Norris,james.norris@test.org,(65)96656-8068,Reader,1959-12-28
Tina Delgado,tina.delgado@library.edu,(82)97189-3889,Reader,1966-08-07
Mr. Joseph Mckee,mr..joseph.mckee@test.org,(59)93531-5161,Admin,1975-04-16
Rhonda Norton,rhonda.norton@example.com,(37)90828-4880,Reader,1952-08-05
Jason Giles,jason.giles@library.edu,(42)96156-5973,Reader,1971-01-24
Rachel Mendoza,rachel.mendoza@library.edu,(15)95208-2870,Admin,1955-11-08
Rodney Smith,rodney.smith@test.org,(28)90203-9914,Admin,1961-07-08
Kari Diaz,kari.diaz@test.org,(57)94724-1453,Admin,1984-01-22
Johnny Phillips,johnny.phillips@test.org,(66)96700-2412,Reader,1989-02-17
Laura Perkins,laura.perkins@example.com,(88)96644-5278,Reader,1997-11-08
Daniel Davis,daniel.davis@example.com,(76)94217-8257,Admin,1954-12-14
Timothy Gardner,timothy.gardner@example.com,(41)97356-5117,Reader,1950-11-04
Alexandra Hopkins,alexandra.hopkins@example.com,(52)91357-7911,Reader,2003-11-07
Brian Robinson,brian.robinson@test.org,(95)92631-7490,Admin,1953-11-26
Cody Shepherd,cody.shepherd@example.com,(88)95620-5926,Reader,1975-12-29
Christopher Keith,christopher.keith@example.com,(68)95176-7664,Reader,1957-08-30
Mary Strong,mary.strong@library.edu,(41)92421-3878,Reader,1954-07-27
Joseph Kelley,joseph.kelley@library.edu,(96)97843-6662,Admin,1972-05-25
James Copeland,james.copeland@library.edu,(86)92666-9523,Reader,1953-07-18
Stephanie Costa,stephanie.costa@library.edu,(25)96738-7627,Admin,2004-10-27
Mark Nguyen,mark.nguyen@test.org,(29)91395-8194,Reader,1997-09-20
Michele Lane,michele.lane@test.org,(97)93470-9186,Reader,2000-03-19
James West,james.west@test.org,(53)96385-3578,Admin,1957-05-19
Jamie Bass,jamie.bass@example.com,(88)91529-6297,Admin,1959-05-04
Jerry Young,jerry.young@test.org,(78)97475-6354,Reader,2004-12-12
Sydney Johnson,sydney.johnson@library.edu,(71)91450-9994,Admin,1964-11-06
Daniel Watson,daniel.watson@example.com,(26)99382-1716,Admin,1981-12-03
Jasmine Peterson,jasmine.peterson@library.edu,(16)97276-2501,Reader,1979-01-13
Martin Martin,martin.martin@library.edu,(43)99632-2118,Reader,2000-07-07
Troy Lewis,troy.lewis@example.com,(56)99196-3254,Admin,1993-01-07
David Dominguez,david.dominguez@example.com,(12)92451-7757,Reader,2002-09-21
